"Location";"AdmArea";"District";"WorkStartDate";"WorkEndDate";"WorkType";"WorkStatus";"global_id";"NameOrg";"geodata_center";"geoarea";
"Девяткин пер.";"Центральный административный округ";"Басманный район";"01.01.2021";"31.05.2021";"прочие";"идут";"1082827028";"АО «Мосводоканал»";"0101000000EBFFFFBAD8D1424093142AFB29E14B40";"";
"Большой Николопесковский переулок, 9 стр. 1";"Центральный административный округ";"район Арбат";"01.01.2021";"31.05.2021";"прочие";"идут";"1082827181";"АО «Мосводоканал»";"0101000000F9FF7F2D9BCB424039F6898F09E04B40";"";
"Комсомольский пр. д.25 к1";"Центральный административный округ";"район Хамовники";"01.01.2021";"31.05.2021";"прочие";"идут";"1082827288";"АО «Мосводоканал»";"010100000040008069B4CA42405078936A2ADD4B40";"";
"ул. Палиха - ул. Новослободская";"Центральный административный округ";"Тверской район";"01.01.2021";"31.07.2021";"прочие";"идут";"1082827481";"АО «Мосводоканал»";"01010000000D00002A66CC4240B85EFD7C5CE44B40";"";
"улица Обручева
улица Новаторов";"Юго-Западный административный округ";"Обручевский район";"29.01.2021";"29.04.2021";"прочие";"не начаты";"1082865265";"АО «Мосгаз»";"01010000000A0000346FC242401308B72447D44B40";"";
"улица Обручева дом 12 - дом 28";"Юго-Западный административный округ";"Обручевский район";"29.01.2021";"30.04.2021";"прочие";"не начаты";"1082865266";"АО «Мосгаз»";"0101000000CDFFFF67D2C142406DD34A912CD44B40";"";
"улица Кусковская дом 7";"Восточный административный округ";"район Новогиреево";"20.01.2021";"25.04.2021";"прочие";"идут";"1082865729";"АО «Мосгаз»";"0101000000BEFFFFBFDFE342400FFB6FFBA2DE4B40";"";
"Севастопольский путепровод";"Юго-Западный административный округ";"район Ясенево";"08.02.2021";"31.08.2021";"прочие";"идут";"1089490673";"ГБУ «Гормост»";"0101000000DEFFFF6729C54240A8A66FEF9AD04B40";"";
"Тушиснкий ДК мост";"Северо-Западный административный округ";"район Южное Тушино";"10.02.2021";"01.06.2021";"прочие";"идут";"1089490677";"ГБУ «Гормост»";"0101000000420080BE27B4424007C28E7688EB4B40";"";
"Котельническая наб., д.1, корп.В";"Центральный административный округ";"Таганский район";"15.03.2021";"17.09.2021";"прочие";"не начаты";"1089491833";"ГУП «Мосводосток»";"01010000000B0080F42DD24240C8AB458FBCDF4B40";"";
"Павелецкая наб., д.4";"Южный административный округ";"Даниловский район";"15.03.2021";"17.09.2021";"прочие";"не начаты";"1089492161";"ГУП «Мосводосток»";"010100000019008070DED24240BECD4DB04FDB4B40";"";
"Флотская ул., д.78";"Северный административный округ";"Головинский район";"04.03.2021";"07.05.2021";"прочие";"не начаты";"1089492346";"ГУП «Мосводосток»";"01010000002500002FB1C1424046DA9E4514EE4B40";"";
"ул. Буракова";"Восточный административный округ";"район Соколиная Гора";"12.08.2020";"14.05.2021";"прочие";"идут";"1089492352";"ГУП «Мосводосток»";"0101000000BCFFFF7DA0DD4240D7B2204060E14B40";"";
"ул. Бориса Галушкина, от д.11 до д. 19, корп.1";"Северо-Восточный административный округ";"Алексеевский район";"25.02.2021";"15.03.2021";"прочие";"не начаты";"1089492654";"ГУП «Мосводосток»";"0101000000DEFFFF516CD44240AE8FAED94EE94B40";"";
"Мост Широковский, ул.Широкая";"Северо-Восточный административный округ";"район Северное Медведково";"20.02.2021";"09.03.2021";"прочие";"закончены";"1103065776";"ГБУ «Гормост»";"01010000003E00806332D74240B904EEBB87F14B40";"";
"Мост Новосходненский, Походный проезд";"Северо-Западный административный округ";"район Южное Тушино";"20.02.2021";"16.03.2021";"прочие";"закончены";"1103065796";"ГБУ «Гормост»";"0101000000F3FFFF8648B442408AB1C629B2EA4B40";"";
"Мост Солнцево-Сетунька, 9 Чоботовская аллея";"Западный административный округ";"район Солнцево";"20.02.2021";"10.03.2021";"прочие";"закончены";"1103065823";"ГБУ «Гормост»";"0101000000040080EF39AD4240B04C5190E2D34B40";"";
"Мост Иваньковский";"Северо-Западный административный округ";"район Покровское-Стрешнево";"17.03.2021";"28.03.2021";"прочие";"идут";"1103065840";"ГБУ «Гормост»";"0101000000C3FFFF5923BB42403825CF8C97E94B40";"";
